代码,名称,GB2,CLSOE2,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,流动资产,固定资产,无形资产,流动负债,长期负债,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,营业外收支,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,64组换手,64组涨幅,64组振幅,64组总量,64组总额,64组上涨%,MACD,BBI,MA,BIAS,KDJ,W&R,PSY,OBV,ASI,BOLL,VSTD,ADTM,ATR
'000951',中国重汽,-0.002,13.37,0.29,8.005,0.03 ,0.243,0.644,5.431,20.552,15.367,29.416,8.983,8.005,2835927,2619475,122215,36652,2151544,20122,2171666,582841,43243,16303,-2589,-7442,923695,80926,32470,731,33201,19360,410118,67108,67090,67090,43.67%,-25.48%,31.54%,2929772,432513.47,45.31,-0.273,12.777,12.86,-6.092,57.993,93.662,58.333,21697706,-2089.215,12.878,21936.107,-0.528,1.36
'603866',桃李面包,0.337,57.93,0.23,6.135,0.03 ,0.371,2.608,2.098,89.532,51.605,20.573,38.817,6.017,364546,195249,128670,23649,36849,1314,38163,326384,122749,17452,-6902,10551,98890,36996,13689,183,13872,10806,136395,47063,5918,5918,86.47%,46.28%,54.35%,511687,251770.23,56.25,2.063,55.127,55.358,5.391,71.472,8.181,58.333,1569613,722.051,53.391,4734.689,0.346,1.01
'601900',南方传媒,0.122,10.82,0.19,5.635,0.03 ,-0.348,1.99,2.499,53.713,50.73,9.152,29.74,5.586,939934,412332,63273,317640,373620,55930,429550,504869,178243,-31181,-75771,-104338,127625,37293,16882,-154,16727,16755,223883,89588,17560,17560,91.98%,-4.55%,16.24%,1615249,168826.56,50,0.1,10.728,10.83,-1.398,72.503,31.579,50,2075105,-151.61,10.588,13099.191,0.085,0.28
'300219',鸿利智汇,-0.102,11.52,0.13,3.862,0.03 ,0.166,1.528,1.273,53.944,16.066,26.242,21.925,3.834,510536,225041,109393,14731,183560,41056,224616,275406,108997,11835,-9277,34,87373,18756,7736,3175,10911,9258,90788,71294,53098,53098,45.48%,-8.62%,35.27%,2414708,284882,53.13,-0.226,11.395,11.254,-17.16,25.959,95.918,41.667,12006394,-419.994,11.717,10227.396,-0.416,2.21
'600233',圆通速递,-0.097,14.91,0.112,3.404,0.03 ,-0.139,2.151,1.107,70.46,12.996,52.883,12.309,3.263,1364814,568004,332909,188349,352583,31062,383645,961647,607677,-39241,-47741,-112566,534140,64056,40880,2227,43107,31559,312908,283077,78337,78337,27.02%,-19.81%,39.68%,2116710,346301.88,45.31,-0.393,14.749,14.642,-15.107,28.509,96.914,41.667,22969436,-1021.38,15.169,8628.955,-0.59,2.46
'600328',兰太实业,-0.036,9.014,0.173,5.054,0.03 ,0.302,2.325,1.47,32.973,34.147,25.561,37.16,5.054,690778,179942,383840,45234,354693,70809,425502,227768,101849,13223,604,11515,92673,32431,14564,-60,14504,7558,70802,43803,43803,43803,104.23%,-23.40%,27.01%,4565517,431017.78,46.88,-0.154,8.768,8.771,-13.444,53.202,97.475,41.667,47759960,-1703.245,8.888,19127.24,-0.337,1.414
'300620',光库科技,0.171,41.13,0.185,5.394,0.03 ,0.104,2.935,1.299,83.96,69.756,44.789,48.663,5.394,58630,48925,1796,877,6328,2823,9151,49225,25831,915,6483,6837,6267,2981,1869,0,1869,1629,13191,8800,2200,2200,540.97%,36.70%,55.26%,1190140,460936.03,56.25,0.98,41.964,42.166,0.165,49.454,31.579,33.333,496926,-84.779,41.281,7861.966,0.102,2.04
'002179',中航光电,0.026,38.38,0.214,6.401,0.03 ,-0.357,1.237,3.311,48.819,-8.892,3.858,35.09,6.385,1037162,811748,140029,20067,444314,32174,476488,506332,97843,-28209,-8913,-35951,147725,51227,18785,378,19162,16738,261860,79098,78247,78247,52.18%,14.05%,40.40%,4082799,1614102.75,48.44,-0.361,39.346,39.052,0.766,52.057,36.53,33.333,18487660,-976.074,40.292,19594.703,-0.232,1.85
'603055',台华新材,0.094,16.72,0.14,4.311,0.03 ,-0.0018,1.317,1.955,68.328,4.921,13.342,27.393,4.299,345498,185159,118392,12287,107366,2062,109428,236071,72130,-96,21288,17148,60972,16161,9553,-11,9542,7796,107052,54760,6760,6760,333.83%,-14.72%,26.52%,2256678,340360.22,53.13,0.234,15.406,15.632,-10.128,60.037,93.671,50,409521,-53.752,15.033,26780.305,0.045,2.9
'600211',西藏药业,-0.001,43.735,0.38,11.091,0.03 ,0.321,7.844,2.196,89.016,26.84,-13.405,79.23,11.09,231562,85939,14277,112643,23143,2030,25173,206128,140897,5763,1024,6394,21274,16628,7791,-2,7789,6866,46353,17962,14559,14559,65.04%,13.20%,63.40%,946918,371929.28,56.25,0.856,41.996,42.422,-20.997,52.984,97.245,50,11055021,-1992.592,41.891,15140.462,0.011,10.185
